city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,33.0,0,2025-12-09T03:49:27.625852,simulated
Galle,6.0535,80.221,45.1,4,2025-12-09T03:49:27.625852,simulated
Kandy,7.2906,80.6337,58.0,0,2025-12-09T03:49:27.625852,simulated
Jaffna,9.6615,80.0255,30.8,2,2025-12-09T03:49:27.625852,simulated
Negombo,7.2083,79.8358,41.1,0,2025-12-09T03:49:27.625852,simulated
Anuradhapura,8.3114,80.4037,57.1,4,2025-12-09T03:49:27.625852,simulated
Kurunegala,7.4863,80.3647,60.0,2,2025-12-09T03:49:27.625852,simulated
Ratnapura,6.6828,80.3992,46.0,2,2025-12-09T03:49:27.625852,simulated
Matara,5.9549,80.555,46.6,3,2025-12-09T03:49:27.625852,simulated
Badulla,6.9934,81.055,50.0,0,2025-12-09T03:49:27.625852,simulated
