city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,56.2,3,2025-12-08T03:38:29.226663,simulated
Galle,6.0535,80.221,60.3,2,2025-12-08T03:38:29.226663,simulated
Kandy,7.2906,80.6337,43.1,3,2025-12-08T03:38:29.226663,simulated
Jaffna,9.6615,80.0255,47.4,1,2025-12-08T03:38:29.226663,simulated
Negombo,7.2083,79.8358,49.3,4,2025-12-08T03:38:29.226663,simulated
Anuradhapura,8.3114,80.4037,62.8,1,2025-12-08T03:38:29.226663,simulated
Kurunegala,7.4863,80.3647,59.5,3,2025-12-08T03:38:29.226663,simulated
Ratnapura,6.6828,80.3992,41.3,5,2025-12-08T03:38:29.226663,simulated
Matara,5.9549,80.555,48.2,1,2025-12-08T03:38:29.226663,simulated
Badulla,6.9934,81.055,57.9,1,2025-12-08T03:38:29.226663,simulated
