city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,40.4,1,2025-12-08T04:02:42.756974,simulated
Galle,6.0535,80.221,44.1,3,2025-12-08T04:02:42.756974,simulated
Kandy,7.2906,80.6337,62.2,3,2025-12-08T04:02:42.756974,simulated
Jaffna,9.6615,80.0255,49.4,0,2025-12-08T04:02:42.756974,simulated
Negombo,7.2083,79.8358,65.4,1,2025-12-08T04:02:42.756974,simulated
Anuradhapura,8.3114,80.4037,62.5,5,2025-12-08T04:02:42.756974,simulated
Kurunegala,7.4863,80.3647,56.4,2,2025-12-08T04:02:42.756974,simulated
Ratnapura,6.6828,80.3992,60.5,4,2025-12-08T04:02:42.756974,simulated
Matara,5.9549,80.555,59.3,2,2025-12-08T04:02:42.756974,simulated
Badulla,6.9934,81.055,55.2,2,2025-12-08T04:02:42.756974,simulated
