city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,45.2,1,2025-12-08T03:35:36.419621,simulated
Galle,6.0535,80.221,38.9,1,2025-12-08T03:35:36.419621,simulated
Kandy,7.2906,80.6337,54.4,5,2025-12-08T03:35:36.419621,simulated
Jaffna,9.6615,80.0255,45.5,1,2025-12-08T03:35:36.419621,simulated
Negombo,7.2083,79.8358,55.2,4,2025-12-08T03:35:36.419621,simulated
Anuradhapura,8.3114,80.4037,45.8,3,2025-12-08T03:35:36.419621,simulated
Kurunegala,7.4863,80.3647,52.4,1,2025-12-08T03:35:36.419621,simulated
Ratnapura,6.6828,80.3992,47.2,5,2025-12-08T03:35:36.419621,simulated
Matara,5.9549,80.555,39.4,1,2025-12-08T03:35:36.419621,simulated
Badulla,6.9934,81.055,63.9,3,2025-12-08T03:35:36.419621,simulated
