city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,17.0,1,2025-12-09T06:49:01.408791,simulated
Galle,6.0535,80.221,38.5,0,2025-12-09T06:49:01.408791,simulated
Kandy,7.2906,80.6337,36.1,1,2025-12-09T06:49:01.408791,simulated
Jaffna,9.6615,80.0255,36.3,2,2025-12-09T06:49:01.408791,simulated
Negombo,7.2083,79.8358,30.9,0,2025-12-09T06:49:01.408791,simulated
Anuradhapura,8.3114,80.4037,35.0,1,2025-12-09T06:49:01.408791,simulated
Kurunegala,7.4863,80.3647,38.3,2,2025-12-09T06:49:01.408791,simulated
Ratnapura,6.6828,80.3992,26.8,1,2025-12-09T06:49:01.408791,simulated
Matara,5.9549,80.555,28.8,0,2025-12-09T06:49:01.408791,simulated
Badulla,6.9934,81.055,20.8,0,2025-12-09T06:49:01.408791,simulated
