city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,52.7,0,2025-12-08T04:33:42.467991,simulated
Galle,6.0535,80.221,43.1,1,2025-12-08T04:33:42.467991,simulated
Kandy,7.2906,80.6337,54.1,3,2025-12-08T04:33:42.467991,simulated
Jaffna,9.6615,80.0255,56.9,4,2025-12-08T04:33:42.467991,simulated
Negombo,7.2083,79.8358,64.2,2,2025-12-08T04:33:42.467991,simulated
Anuradhapura,8.3114,80.4037,49.6,2,2025-12-08T04:33:42.467991,simulated
Kurunegala,7.4863,80.3647,44.1,5,2025-12-08T04:33:42.467991,simulated
Ratnapura,6.6828,80.3992,47.7,2,2025-12-08T04:33:42.467991,simulated
Matara,5.9549,80.555,66.2,2,2025-12-08T04:33:42.467991,simulated
Badulla,6.9934,81.055,59.2,4,2025-12-08T04:33:42.467991,simulated
