city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,45.7,3,2025-12-09T03:57:05.652516,simulated
Galle,6.0535,80.221,45.5,1,2025-12-09T03:57:05.652516,simulated
Kandy,7.2906,80.6337,56.1,3,2025-12-09T03:57:05.652516,simulated
Jaffna,9.6615,80.0255,71.3,0,2025-12-09T03:57:05.652516,simulated
Negombo,7.2083,79.8358,54.6,5,2025-12-09T03:57:05.652516,simulated
Anuradhapura,8.3114,80.4037,58.6,3,2025-12-09T03:57:05.652516,simulated
Kurunegala,7.4863,80.3647,43.5,4,2025-12-09T03:57:05.652516,simulated
Ratnapura,6.6828,80.3992,51.8,3,2025-12-09T03:57:05.652516,simulated
Matara,5.9549,80.555,55.2,2,2025-12-09T03:57:05.652516,simulated
Badulla,6.9934,81.055,66.6,0,2025-12-09T03:57:05.652516,simulated
