city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,43.0,5,2025-12-08T03:57:25.045566,simulated
Galle,6.0535,80.221,36.6,0,2025-12-08T03:57:25.045566,simulated
Kandy,7.2906,80.6337,32.2,1,2025-12-08T03:57:25.045566,simulated
Jaffna,9.6615,80.0255,74.5,4,2025-12-08T03:57:25.045566,simulated
Negombo,7.2083,79.8358,46.0,2,2025-12-08T03:57:25.045566,simulated
Anuradhapura,8.3114,80.4037,55.5,3,2025-12-08T03:57:25.045566,simulated
Kurunegala,7.4863,80.3647,34.9,1,2025-12-08T03:57:25.045566,simulated
Ratnapura,6.6828,80.3992,57.3,1,2025-12-08T03:57:25.045566,simulated
Matara,5.9549,80.555,52.4,4,2025-12-08T03:57:25.045566,simulated
Badulla,6.9934,81.055,66.4,2,2025-12-08T03:57:25.045566,simulated
