city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,61.1,0,2025-12-08T04:18:14.066568,simulated
Galle,6.0535,80.221,32.6,0,2025-12-08T04:18:14.066568,simulated
Kandy,7.2906,80.6337,42.8,5,2025-12-08T04:18:14.066568,simulated
Jaffna,9.6615,80.0255,47.5,1,2025-12-08T04:18:14.066568,simulated
Negombo,7.2083,79.8358,62.4,2,2025-12-08T04:18:14.066568,simulated
Anuradhapura,8.3114,80.4037,64.6,5,2025-12-08T04:18:14.066568,simulated
Kurunegala,7.4863,80.3647,65.9,1,2025-12-08T04:18:14.066568,simulated
Ratnapura,6.6828,80.3992,54.5,5,2025-12-08T04:18:14.066568,simulated
Matara,5.9549,80.555,50.4,4,2025-12-08T04:18:14.066568,simulated
Badulla,6.9934,81.055,57.0,0,2025-12-08T04:18:14.066568,simulated
