city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,63.0,5,2025-12-09T04:15:56.078911,simulated
Galle,6.0535,80.221,49.2,3,2025-12-09T04:15:56.078911,simulated
Kandy,7.2906,80.6337,69.3,0,2025-12-09T04:15:56.078911,simulated
Jaffna,9.6615,80.0255,47.6,0,2025-12-09T04:15:56.078911,simulated
Negombo,7.2083,79.8358,43.0,0,2025-12-09T04:15:56.078911,simulated
Anuradhapura,8.3114,80.4037,57.5,4,2025-12-09T04:15:56.078911,simulated
Kurunegala,7.4863,80.3647,48.6,2,2025-12-09T04:15:56.078911,simulated
Ratnapura,6.6828,80.3992,57.8,2,2025-12-09T04:15:56.078911,simulated
Matara,5.9549,80.555,59.9,5,2025-12-09T04:15:56.078911,simulated
Badulla,6.9934,81.055,40.4,4,2025-12-09T04:15:56.078911,simulated
