city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,38.6,2,2025-12-06T05:26:03.703981,simulated
Galle,6.0535,80.221,35.3,1,2025-12-06T05:26:03.703981,simulated
Kandy,7.2906,80.6337,19.5,1,2025-12-06T05:26:03.703981,simulated
Jaffna,9.6615,80.0255,21.8,2,2025-12-06T05:26:03.703981,simulated
Negombo,7.2083,79.8358,29.0,1,2025-12-06T05:26:03.703981,simulated
Anuradhapura,8.3114,80.4037,12.4,2,2025-12-06T05:26:03.703981,simulated
Kurunegala,7.4863,80.3647,34.5,2,2025-12-06T05:26:03.703981,simulated
Ratnapura,6.6828,80.3992,14.9,1,2025-12-06T05:26:03.703981,simulated
Matara,5.9549,80.555,34.5,1,2025-12-06T05:26:03.703981,simulated
Badulla,6.9934,81.055,18.4,1,2025-12-06T05:26:03.703981,simulated
