city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,35.0,2,2025-12-08T03:40:46.730685,simulated
Galle,6.0535,80.221,65.0,2,2025-12-08T03:40:46.730685,simulated
Kandy,7.2906,80.6337,49.6,0,2025-12-08T03:40:46.730685,simulated
Jaffna,9.6615,80.0255,60.1,0,2025-12-08T03:40:46.730685,simulated
Negombo,7.2083,79.8358,58.0,1,2025-12-08T03:40:46.730685,simulated
Anuradhapura,8.3114,80.4037,62.2,0,2025-12-08T03:40:46.730685,simulated
Kurunegala,7.4863,80.3647,50.1,2,2025-12-08T03:40:46.730685,simulated
Ratnapura,6.6828,80.3992,49.0,5,2025-12-08T03:40:46.730685,simulated
Matara,5.9549,80.555,67.7,5,2025-12-08T03:40:46.730685,simulated
Badulla,6.9934,81.055,57.7,1,2025-12-08T03:40:46.730685,simulated
